Comment,Designator,Footprint,LCSC Part #
0R,R21 R25,R0402,
1.3M,R14,R0402,
1M,R8 R13 R22,R0402,
1R,R9 R23,R0402,
1k,R7,R0402,
1k65,R5,R0402,
1uF,C7,C0603,
1uF/50V,C9 C24,C0805,
3k3,R11,R0402,
4.7uF,C5,C0603,C108344
4.7uF/25V,C13 C20 C21 C31 C35 C36,C0805,
5.1k,R15 R16,R0402,
10k,R1 R2 R3 R17,R0402,
10uF/25V,C3 C8 C10 C11 C12 C14 C15 C16 C19 C25 C29 C30 C32 C33 C34 C37,C0805,
10uH,L1 L2,SMNR4020,C135265
22uF,C4 C17 C18 C23 C26 C38,C0603,
47uF,C2,C0603,C178330
100k,R4 R6 R18,R0402,
100n,C27 C28,C0402,
100nF,C1,C0603,
100nF,C6 C22,C0402,
750,R10,R0402,
AFC24-S30FIC-00,J5 J6,AFC24S30FIC00,
SI1308EDL,Q4 Q6,SOT65P210X110-3N,C469327
AO3401,Q3 Q5,SOT23,
AP2191WG-7,IC1,SOT25,C141321
BAT60B,D1 D2 D3,SOD323-R,
CH9102F,IC3,QFN24-4X4,
EN button,RESET,TS1088R02026,C455280
ESP32-S3-WROOM-1-N16,IC2,ESP32S3WROOM1N16,
HT7833,LDO,SOT23-5,C164106
JST-PH-2/90SMD,BATTERY,S2B-PH-SM4,C47647
JST-SH-4P,J2,1X04_1MM_RA,C145956
MBR0530,D4 D5 D6 D7 D8 D9,SOD123-F,
ME6211C33M5G,IC4,SOT23-5,
MMDT3904,Q1,SC70-6,C268586
POLIFUSE0500805L,F1 F2,0805L,C66452
RED,CHARGING,CHIP-LED0603,C241893
S8050,Q2,SOT23-BEC,
TP4054,U1,SOT-23-5,C32574
USB-C_2-16PIN,J4,USBC_USB-C-16P-5,C2837092
USUP_SPI_CONNECTOR_VERT,J3,1X06_1MM_RA_VERT,C145963
